Repo_Name, Total Repo Leaks,Current Commit Leaks, Guarddog findings, Safety findings, Critical Vulns, High Vulns, Medium Vulns, Low Vulns
Discord-Vanity-Url-Sniper,7,0,0,0,0,1,0,0
dvpwa,0,0,3,3,1,0,1,0
vcfpy,4,0,0,0,1,5,2,0
Telegram-SedenUserBot,1,0,0,0,6,57,0,0
pandas_alive,0,0,26,7,0,0,0,0
content-engine,0,0,1,1,0,0,0,0
TwinDiffusion,0,0,0,0,0,3,0,0
osintr,0,0,0,0,0,10,0,0
BRANDED-ROBOT,9,0,10,4,8,46,0,0
vaurien,0,0,0,3,2,3,0,0
trapster-community,1,0,1,0,0,4,2,0
xsrfprobe,0,0,0,0,4,6,1,0
wechat_article,0,0,0,0,2,24,0,0
bitcoinlib,223,0,6,0,6,11,0,0
EveryoneNobel,0,0,0,0,8,7,0,0
MemVR,0,0,38,5,0,19,0,0
api4sensevoice,0,0,4,0,0,0,0,0
nas-tools,2,0,19,17,43,113,21,3
LocalAIVtuber,2,0,No requirements.txt,0,17,74,0,0
xsrfprobe,0,0,0,0,4,6,1,0
cdn_cert,0,0,3,1,1,3,1,0
SearchGPT,0,0,1,0,0,0,0,0
proXXy,0,0,2,3,1,14,0,0
Infinite-ISP,0,0,3,2,0,7,0,0
ROMANCE,0,0,27,12,1,4,0,0
DreamMat,0,0,2,2,4,33,2,0
BananaDropFarm,0,0,1,0,0,7,0,0
aimnet2,0,0,No requirements.txt,0,0,1,0,0
python-zulip-api,75,0,1,0,31,40,9,0
alas-with-dashboard,5,0,27,21,30,67,0,9
EmbyToAlist,0,0,1,1,0,0,1,0
py.wtf,19,0,18,0,0,0,1,1
difface,0,0,1,0,8,89,1,0
virnet,0,0,2,2,1,9,0,0
MuseHeart-MusicBot,0,0,4,0,25,16,4,0
UnTrack,0,0,No requirements.txt,12,5,35,0,0
OuteTTS,0,0,1,0,2,11,0,0
reevo,0,0,4,1,13,58,0,0       #38
OmniGen-ComfyUI,0,0,0,0,1,2,0,0
graphrag-practice-chinese,0,0,1,0,0,0,0,0
CLAPSep,0,0,1,1,1,8,0,0
logdata-anomaly-miner,59,0,2,1,64,68,3,0
llumnix,0,0,2,0,2,6,0,0
streamflow,2,0,3,1,1,13,3,0
thunor-web,0,0,8,0,4,8,1,1
ion-python,0,0,9,2,0,12,0,0
ai8x-synthesis,0,0,6,1,1,26,0,0
hadith-every-hour,0,0,0,0,0,2,0,0
ll-mtproto,0,0,2,0,0,6,1,0
DiLM,0,0,No requirements.txt,4,0,1,0,0
ELMo-Tune,0,0,4,5,6,6,0,0
Music,0,0,6,0,0,1,0,0
nbss,0,0,5,0,5,15,0,0
Axobot,1,0,3,0,2,45,0,0
redroid-script,1,0,1,2,2,33,2,0
pytezos,1652,0,28,1,0,13,0,0
trex,0,0,0,4,0,1,0,0
Dragon,0,0,0,0,0,39,0,0
monster-siren-download,0,0,0,0,0,0,0,0
adata,2,0,2,0,1,7,0,1
FlareSolverr,0,0,3,3,5,26,0,0
cage,0,0,0,0,0,23,0,3
0din,1,0,0,0,2,4,1,0
mABC,0,0,0,0,1,6,0,0
SOLANA_SNIPER_BOT,0,0,0,0,1,12,0,0
toraniko,0,0,1,0,0,0,0,0
x12306,0,0,0,0,0,3,1,0
wechat_article,0,0,0,0,2,24,0,0
SwinUnet3D,0,0,0,1,2,0,0,0
textual-paint,1,0,7,1,11,13,0,3
midi-converter,0,0,0,0,0,0,0,0
ceph-ansible,373,0,0,0,0,0,0,0
funding-rate-arbitrage,152,0,5,1,0,10,0,0
sydom,0,0,5,0,0,31,0,0
